A001Abano Terme
A004	Abbadia Cerreto
A005	Abbadia Lariana
A006	Abbadia San Salvatore
A007	Abbasanta
A008	Abbateggio
A010	Abbiategrasso
A012	Abetone
A013	Abriola
A014	Acate
A015	Accadia
A016	Acceglio
A017	Accettura
A018	Acciano
A019	Accumoli
A020	Acerenza
A022	Cermes
A023	Acerno
A024	Acerra
A025	Aci Bonaccorsi
A026	Aci Castello
A027	Aci Catena
A028	Acireale
A029	Aci Sant'Antonio
A031	Acquacanina
A032	Acquafondata
A033	Acquaformosa
A034	Acquafredda
A035	Acqualagna
A038	Acquanegra sul Chiese
A039	Acquanegra Cremonese
A040	Acquapendente
A041	Acquappesa
A042	Acquarica del Capo
A043	Acquaro
A044	Acquasanta Terme
A045	Acquasparta
A047	Acquaviva Picena
A048	Acquaviva delle Fonti
A049	Acquaviva Platani
A050	Acquaviva Collecroce
A051	Acquaviva d'Isernia
A052	Acqui Terme
A053	Acri
A054	Acuto
A055	Adelfia
A056	Adrano
A057	Adrara San Martino
A058	Adrara San Rocco
A059	Adria
A060	Adro
A061	Affi
A062	Affile
A064	Afragola
A065	Africo
A067	Agazzano
A068	Agerola
A069	Aggius
A070	Agira
A071	Agliana
A072	Agliano Terme
A074	Agliè
A075	Agna
A076	Agnadello
A077	Agnana Calabra
A080	Agnone
A081	Villa Latina
A082	Agnosine
A083	Agordo
A084	Agosta
A085	Agra
A087	Agrate Brianza
A088	Agrate Conturbia
A089	Agrigento
A091	Agropoli
A092	Agugliano
A093	Agugliaro
A094	Ayas
A096	Aicurzio
A097	Aidomaggiore
A098	Aidone
A100	Aielli
A101	Aiello del Sabato
A102	Aiello Calabro
A103	Aiello del Friuli
A105	Aieta
A106	Ailano
A107	Ailoche
A108	Aymavilles
A109	Airasca
A110	Airola
A111	Airole
A112	Airuno
A113	Aisone
A115	Alà dei Sardi
A116	Ala
A117	Ala di Stura
A118	Alagna
A119	Alagna Valsesia
A120	Alanno
A121	Alano di Piave
A122	Alassio
A123	Alatri
A124	Alba
A125	Alba Adriatica
A126	Albagiara
A127	Albairate
A128	Albanella
A129	Albano Sant'Alessandro
A130	Albano Vercellese
A131	Albano di Lucania
A132	Albano Laziale
A134	Albaredo Arnaboldi
A135	Albaredo per San Marco
A137	Albaredo d'Adige
A138	Albareto
A139	Albaretto della Torre
A143	Albavilla
A145	Albenga
A146	Albera Ligure
A149	Alberobello
A150	Alberona
A153	Albese con Cassano
A154	Albettone
A155	Albi
A157	Albiano d'Ivrea
A158	Albiano
A159	Albiate
A160	Albidona
A161	Albignasego
A162	Albinea
A163	Albino
A164	Albiolo
A165	Albissola Marina
A166	Albisola Superiore
A167	Albizzate
A171	Albonese
A172	Albosaggia
A173	Albugnano
A175	Albuzzano
A176	Alcamo
A177	Alcara Li Fusi
A178	Aldeno
A179	Aldino
A180	Ales
A181	Alessandria della Rocca
A182	Alessandria
A183	Alessandria del Carretto
A184	Alessano
A185	Alezio
A186	Alfano
A187	Alfedena
A188	Alfianello
A189	Alfiano Natta
A191	Alfonsine
A192	Alghero
A193	Algua
A194	Alì
A195	Alia
A196	Aliano
A197	Alice Bel Colle
A198	Alice Castello
A199	Alice Superiore
A200	Alife
A201	Alì Terme
A202	Alimena
A203	Aliminusa
A204	Allai
A205	Allein
A206	Alleghe
A207	Allerona
A208	Alliste
A210	Allumiere
A211	Alluvioni Cambiò
A214	Almè
A215	Villa d'Almè
A216	Almenno San Bartolomeo
A217	Almenno San Salvatore
A218	Almese
A220	Alonte
A221	Alpette
A222	Alpignano
A223	Alseno
A224	Alserio
A225	Altamura
A226	Altare
A227	Altavilla Monferrato
A228	Altavilla Irpina
A229	Altavilla Milicia
A230	Altavilla Silentina
A231	Altavilla Vicentina
A233	Altidona
A234	Altilia
A235	Altino
A236	Altissimo
A237	Altivole
A238	Alto
A239	Altofonte
A240	Altomonte
A241	Altopascio
A242	Alviano
A243	Alvignano
A244	Alvito
A245	Alzano Scrivia
A246	Alzano Lombardo
A249	Alzate Brianza
A251	Amalfi
A252	Amandola
A253	Amantea
A254	Amaro
A255	Amaroni
A256	Amaseno
A257	Amato
A258	Amatrice
A259	Ambivere
A261	Ameglia
A262	Amelia
A263	Amendolara
A264	Ameno
A265	Amorosi
A266	Cortina d'Ampezzo
A267	Ampezzo
A268	Anacapri
A269	Anagni
A270	Ancarano
A271	Ancona
A272	Andali
A273	Andalo Valtellino
A274	Andalo
A275	Andezeno
A278	Andora
A280	Andorno Micca
A281	Andrano
A282	Andrate
A283	Andreis
A284	Andretta
A285	Andria
A286	Andriano
A287	Anela
A288	Anfo
A290	Angera
A291	Anghiari
A292	Angiari
A293	Angolo Terme
A294	Angri
A295	Angrogna
A296	Anguillara Veneta
A297	Anguillara Sabazia
A299	Annicco
A300	Castello di Annone
A301	Annone di Brianza
A302	Annone Veneto
A303	Anoia
A304	Antegnate
A305	Antey-Saint-André
A306	Anterivo
A308	La Magdeleine
A309	Anticoli Corrado
A310	Fiuggi
A312	Antignano
A313	Antillo
A314	Antonimina
A315	Antrodoco
A317	Antrona Schieranco
A318	Anversa degli Abruzzi
A319	Anzano del Parco
A320	Anzano di Puglia
A321	Anzi
A323	Anzio
A324	Anzola dell'Emilia
A325	Anzola d'Ossola
A326	Aosta
A327	Apecchio
A328	Apice
A329	Apiro
A330	Apollosa
A332	Appiano sulla Strada del Vino
A333	Appiano Gentile
A334	Appignano
A335	Appignano del Tronto
A337	Aprica
A338	Apricale
A339	Apricena
A340	Aprigliano
A341	Aprilia
A343	Aquara
A344	Aquila d'Arroscia
A345	L'Aquila
A346	Aquileia
A347	Aquilonia
A348	Aquino
A350	Aradeo
A351	Aragona
A352	Aramengo
A354	Arba
A355	Tortolì
A357	Arborea
A358	Arborio
A359	Arbus
A360	Arcade
A363	Arce
A365	Arcene
A366	Arcevia
A367	Archi
A368	San Nicolò d'Arcidano
A369	Arcidosso
A370	Arcinazzo Romano
A371	Arcisate
A372	Arco
A373	Arcola
A374	Arcole
A375	Arconate
A376	Arcore
A377	Arcugnano
A379	Ardara
A380	Ardauli
A382	Ardenno
A383	Ardesio
A385	Ardore
A386	Arena
A387	Arena Po
A388	Arenzano
A389	Arese
A390	Arezzo
A391	Argegno
A392	Argelato
A393	Argenta
A394	Argentera
A396	Arguello
A397	Argusto
A398	Ari
A399	Ariano Irpino
A400	Ariano nel Polesine
A401	Ariccia
A402	Arielli
A403	Arienzo
A405	Arignano
A407	Aritzo
A409	Arizzano
A412	Arlena di Castro
A413	Arluno
A414	Armeno
A415	Armento
A418	Armo
A419	Armungia
A421	Arnara
A422	Arnasco
A424	Arnad
A425	Arnesano
A427	Arola
A429	Arona
A430	Arosio
A431	Arpaia
A432	Arpaise
A433	Arpino
A434	Arquà Petrarca
A435	Arquà Polesine
A436	Arquata Scrivia
A437	Arquata del Tronto
A438	Arre
A439	Arrone
A440	Arzago d'Adda
A441	Arsago Seprio
A443	Arsiè
A444	Arsiero
A445	Arsita
A446	Arsoli
A447	Arta Terme
A448	Artegna
A449	Artena
A451	Artogne
A452	Arvier
A453	Arzachena
A454	Arzana
A455	Arzano
A458	Arzergrande
A459	Arzignano
A460	Ascea
A461	Asciano
A462	Ascoli Piceno
A463	Ascoli Satriano
A464	Ascrea
A465	Asiago
A466	Asigliano Vercellese
A467	Asigliano Veneto
A468	Sinalunga
A470	Asola
A471	Asolo
A472	Casperia
A473	Assago
A474	Assemini
A475	Assisi
A476	Asso
A477	Assolo
A478	Assoro
A479	Asti
A480	Asuni
A481	Ateleta
A482	Atella
A484	Atena Lucana
A485	Atessa
A486	Atina
A487	Atrani
A488	Atri
A489	Atripalda
A490	Attigliano
A491	Attimis
A492	Atzara
A493	Auditore
A494	Augusta
A495	Auletta
A496	Aulla
A497	Aurano
A499	Aurigo
A501	Auronzo di Cadore
A502	Ausonia
A503	Austis
A506	Avegno
A507	Avelengo
A508	Avella
A509	Avellino
A511	Averara
A512	Aversa
A514	Avetrana
A515	Avezzano
A516	Aviano
A517	Aviatico
A518	Avigliana
A519	Avigliano
A520	Avio
A521	Avise
A522	Avola
A523	Avolasca
A525	Azeglio
A526	Azzanello
A527	Azzano d'Asti
A528	Azzano San Paolo
A529	Azzano Mella
A530	Azzano Decimo
A531	Azzate
A532	Azzio
A533	Azzone
A534	Baceno
A535	Bacoli
A536	Badalucco
A537	Badia
A538	Badia Pavese
A539	Badia Polesine
A540	Badia Calavena
A541	Badia Tedalda
A542	Badolato
A544	Bagaladi
A546	Bagheria
A547	Bagnacavallo
A550	Bagnaria
A551	Bagnara di Romagna
A552	Bagnara Calabra
A553	Bagnaria Arsa
A555	Bagnasco
A557	Bagnatica
A560	Bagni di Lucca
A561	Montecatini-Terme
A562	San Giuliano Terme
A564	Bagno a Ripoli
A565	Bagno di Romagna
A566	Bagnoli Irpino
A567	Bagnoli del Trigno
A568	Bagnoli di Sopra
A569	Bagnolo Mella
A570	Bagnolo Cremasco
A571	Bagnolo Piemonte
A572	Bagnolo del Salento
A573	Bagnolo in Piano
A574	Bagnolo di Po
A575	Bagnolo San Vito
A576	Bagnone
A577	Bagnoregio
A578	Bagolino
A579	Baia e Latina
A580	Baiano
A581	Bajardo
A584	Bairo
A586	Baiso
A587	Balangero
A588	Baldichieri d'Asti
A589	Baldissero d'Alba
A590	Baldissero Canavese
A591	Baldissero Torinese
A592	Balestrate
A593	Balestrino
A594	Ballabio
A597	Ballao
A599	Balme
A600	Balmuccia
A601	Balocco
A603	Balsorano
A604	Balvano
A605	Balzola
A606	Banari
A607	Banchette
A609	Villa Verde
A610	Bannio Anzino
A612	Banzi
A613	Baone
A614	Baradili
A615	Baragiano
A616	Baranello
A617	Barano d'Ischia
A618	Baranzate
A619	Barasso
A621	Baratili San Pietro
A625	Barbania
A626	Barbara
A627	Barbarano Vicentino
A628	Barbarano Romano
A629	Barbaresco
A630	Barbariga
A631	Barbata
A632	Barberino di Mugello
A633	Barberino Val d'Elsa
A634	Barbianello
